Wailea Golf Club,20.665561043132,-156.435694671033,13.5,4bb9336953649c74abd647fb
Wailea Old Blue Course,20.6759242482243,-156.437260900525,12.9,4f035548b6346feaf016a517
Wialea Golf Club - Emerald Course,20.665443,-156.43678,13.5,59cabcd2646e38736f47571a
Ironwood Hills Golf Course,21.1631667356718,-157.01582605178,1.5,5099b33be4b071145a99b004
Ala Wai Golf Course,21.2774249751136,-157.818884683944,26.5,4b05865bf964a520bd5e22e3
Aloha Golf Center,21.3218466042598,-157.876110554008,22.8,4d74454c94985481571f287e
Arnold Palmer Course At Turtle Bay Golf,21.7018676366352,-157.995931649699,5.9,4e669907b9939a72b29eb1ab
Barbers Point Golf Course,21.3247097331889,-158.038900735511,23.6,4b6d9bf4f964a520fb7f2ce3
Bay View Golf Park,21.406152,-157.7892125,18.9,4c0c7c9d7189c928c9a4d5b6
Coral Creek,21.3297087883719,-158.031702284379,23.1,4b05865bf964a520b55e22e3
Ewa Beach Golf Club,21.3161649238159,-157.992840164485,23.4,4b05865bf964a520c65e22e3
Ewa Villages Golf Course,21.3436726666464,-158.040516920183,22.4,4c23ace4905a0f4708875e60
Fort Shafter Golf,21.348564,-157.884539,20.9,5292babc11d2861280a25ed4
Hawaii Country Club,21.4335117034745,-158.056783884795,17.2,4b7b5b7cf964a520c15f2fe3
Hawaii Kai Golf Course,21.2974857829555,-157.664630999772,29.4,4b05865bf964a520b85e22e3
Hawaii Prince Golf Club,21.3282991863243,-158.009205860092,22.8,4b05865bf964a520c75e22e3
Hoakalei Country Club,21.3117924996412,-158.0324125778,24.3,4b774c05f964a520d98f2ee3
Honolulu Country Club,21.3533851102678,-157.906831526942,20.5,4b29bd71f964a5200da324e3
Kahuku Golf Course,21.6788208789241,-157.945047749644,2.5,4c9e670e0e9bb1f7020ae75f
Kaneohe Klipper Golf Course,21.4505588452462,-157.75181734362,17.6,4b959c5ef964a5200eac34e3
Kapolei Golf Course,21.3448193049552,-158.06052750989,22.8,4b05865bf964a520cd5e22e3
Ko Olina Golf Club,21.3391727,-158.1181064,24.8,4b05865bf964a520bc5e22e3
Ko Olina Golf Club,21.3401687269201,-158.119772672653,24.8,594f41ca535d6f26aa27db73
Ko Olina Resort,21.3353033251709,-158.122492904208,25.2,4bc39c74dce4eee122ad719d
