"Golf Course","Likes","Tips","Rating"
"The Challenge at Manele Golf Course","2","2","N/A"
"The Experience At Koele","0","1","N/A"
"The Spa at Four Seasons Resort Lanai The Lodge at Koele","0","3","8.1"
